detection_event_id,detector,validation_status,attacker_address,attacker_executor_address,transaction_hash,transaction_role,block_number,token_address,from_address,to_address,amount_raw,log_index,attacker_entity_delta_raw,is_weth
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x961308846dd3ab0340b9cc7e91ff1f1e70923269509fd7511244cd9eba659c19,attacker_back,22803200,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0x1f2f10d1c40777ae1da742455c65828ff36df387,47723434069,22,47723434069,false
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x961308846dd3ab0340b9cc7e91ff1f1e70923269509fd7511244cd9eba659c19,attacker_back,22803200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0x1f2f10d1c40777ae1da742455c65828ff36df387,19711802753538233222,24,19711802753538233222,true
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x961308846dd3ab0340b9cc7e91ff1f1e70923269509fd7511244cd9eba659c19,attacker_back,22803200,0xdac17f958d2ee523a2206206994597c13d831ec7,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,47723436800,25,-47723436800,false
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x961308846dd3ab0340b9cc7e91ff1f1e70923269509fd7511244cd9eba659c19,attacker_back,22803200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0x1f2f10d1c40777ae1da742455c65828ff36df387,2959677996786515969,27,2959677996786515969,true
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x961308846dd3ab0340b9cc7e91ff1f1e70923269509fd7511244cd9eba659c19,attacker_back,22803200,0xdac17f958d2ee523a2206206994597c13d831ec7,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,7178568675,28,0,false
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x961308846dd3ab0340b9cc7e91ff1f1e70923269509fd7511244cd9eba659c19,attacker_back,22803200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x11b815efb8f581194ae79006d24e0d814b7697f6,2958659421636669040,29,-2958659421636669040,true
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x8ce923b75a8bb18f0b1fa45d4608a8089bd41aa606d844cf293a39826e7fd35f,attacker_front,22803200,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0x1f2f10d1c40777ae1da742455c65828ff36df387,54122444289,0,54122444289,false
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x8ce923b75a8bb18f0b1fa45d4608a8089bd41aa606d844cf293a39826e7fd35f,attacker_front,22803200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,22354398457900730538,1,-22354398457900730538,true
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x8ce923b75a8bb18f0b1fa45d4608a8089bd41aa606d844cf293a39826e7fd35f,attacker_front,22803200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,5923034582829978635,3,-5923034582829978635,true
4974,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x8ce923b75a8bb18f0b1fa45d4608a8089bd41aa606d844cf293a39826e7fd35f,attacker_front,22803200,0xdac17f958d2ee523a2206206994597c13d831ec7,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,54122441235,4,-54122441235,false
