audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__insertion__37571,37571,insertion,confirmado,confirmado,valid,
semantic__insertion__16,16,insertion,confirmado,confirmado,valid,
semantic__insertion__180,180,insertion,confirmado,confirmado,valid,
semantic__insertion__328,328,insertion,confirmado,confirmado,valid,
semantic__insertion__668,668,insertion,confirmado,confirmado,valid,
semantic__insertion__692,692,insertion,confirmado,confirmado,valid,
semantic__insertion__755,755,insertion,confirmado,confirmado,valid,
semantic__insertion__818,818,insertion,confirmado,confirmado,valid,
semantic__insertion__900,900,insertion,confirmado,confirmado,valid,
semantic__insertion__978,978,insertion,confirmado,confirmado,valid,
semantic__insertion__999,999,insertion,confirmado,confirmado,valid,
semantic__insertion__1366,1366,insertion,confirmado,confirmado,valid,
semantic__insertion__1780,1780,insertion,confirmado,confirmado,valid,
semantic__insertion__2068,2068,insertion,confirmado,confirmado,valid,
semantic__insertion__2501,2501,insertion,confirmado,confirmado,valid,
semantic__insertion__2915,2915,insertion,confirmado,confirmado,valid,
semantic__insertion__2928,2928,insertion,confirmado,confirmado,valid,
semantic__insertion__3026,3026,insertion,confirmado,confirmado,valid,
semantic__insertion__3172,3172,insertion,confirmado,confirmado,valid,
semantic__insertion__3200,3200,insertion,confirmado,confirmado,valid,
semantic__insertion__3499,3499,insertion,confirmado,confirmado,valid,
semantic__insertion__3685,3685,insertion,confirmado,confirmado,valid,
semantic__insertion__3758,3758,insertion,confirmado,confirmado,valid,
semantic__insertion__6110,6110,insertion,confirmado,confirmado,valid,
semantic__insertion__6472,6472,insertion,confirmado,confirmado,valid,
semantic__insertion__6840,6840,insertion,confirmado,confirmado,valid,
semantic__insertion__7250,7250,insertion,confirmado,confirmado,valid,
semantic__insertion__8321,8321,insertion,confirmado,confirmado,valid,
semantic__insertion__8401,8401,insertion,confirmado,confirmado,valid,
semantic__insertion__8874,8874,insertion,confirmado,confirmado,valid,
semantic__insertion__9331,9331,insertion,confirmado,confirmado,valid,
semantic__insertion__9372,9372,insertion,confirmado,confirmado,valid,
semantic__insertion__10018,10018,insertion,confirmado,confirmado,valid,
semantic__insertion__10204,10204,insertion,confirmado,confirmado,valid,
semantic__insertion__11030,11030,insertion,confirmado,confirmado,valid,
semantic__insertion__11484,11484,insertion,confirmado,confirmado,valid,
semantic__insertion__11506,11506,insertion,confirmado,confirmado,valid,
