token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x1e7fab1e97dc36f54b92ef565921b4350547e490,22630600,DD,Discovery Day,9,complete,eth-mainnet.g.alchemy.com
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,22728800,BNT,Bancor Network Token,18,complete,eth-mainnet.g.alchemy.com
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,22728800,UNI,Uniswap,18,complete,eth-mainnet.g.alchemy.com
0x202b2adad000af684220a3e5c99c769e3f242fe6,22777100,FOXAGOTCHI,FOXAGOTCHI,18,complete,eth-mainnet.g.alchemy.com
0x2078f336fdd260f708bec4a20c82b063274e1b23,23472500,fwWBTC,Few Wrapped Wrapped BTC,8,complete,eth-mainnet.g.alchemy.com
0x21f5b2bacb67c94aa0982ce7428f7d1b3c9ceb53,23693400,SNORT,Snorter,18,complete,eth-mainnet.g.alchemy.com
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,22768900,WBTC,Wrapped BTC,8,complete,eth-mainnet.g.alchemy.com
0x229f68a40a64b15f0543a5a518f2b1046f1fe920,23362900,HYPER,Bitcoin Hyper,9,complete,eth-mainnet.g.alchemy.com
0x23b608675a2b2fb1890d3abbd85c5775c51691d5,23828300,SOCKS,Unisocks Edition 0,18,complete,eth-mainnet.g.alchemy.com
0x2551bc3f26129019624f1fb09ebb880e94dbc22a,23619100,BROCCOLI,Broccoli,9,complete,eth-mainnet.g.alchemy.com
0x255494b830bd4fe7220b3ec4842cba75600b6c80,23228600,BEAST,Beast Seller,9,complete,eth-mainnet.g.alchemy.com
0x25931894a86d47441213199621f1f2994e1c39aa,22714100,CGPT,ChainGPT,18,complete,eth-mainnet.g.alchemy.com
0x2653cd00ceb854efb65b1bb4cbf19c760f66cc3e,23009600,KOMO,KOMO,0,complete,eth-mainnet.g.alchemy.com
0x265db573e09aac0a374a8abbc630c516afe94d8e,22614800,4K,Token4K,18,complete,eth-mainnet.g.alchemy.com
0x26e550ac11b26f78a04489d5f20f24e3559f7dd9,22754500,KEKIUS,Kekius Maximus,9,complete,eth-mainnet.g.alchemy.com
0x27054b13b1b798b345b591a4d22e6562d47ea75a,22700300,AST,AirSwap Token,4,complete,eth-mainnet.g.alchemy.com
0x27c70cd1946795b66be9d954418546998b546634,23445400,LEASH,DOGE KILLER,18,complete,eth-mainnet.g.alchemy.com
0x289ff00235d2b98b0145ff5d4435d3e92f9540a6,23550300,BOOE,Book of Ethereum,18,complete,eth-mainnet.g.alchemy.com
0x295b42684f90c77da7ea46336001010f2791ec8c,23781500,XI,Xi Token,18,complete,eth-mainnet.g.alchemy.com
0x29a294f8fe285dfb259705213e375ecb7fcf9d9b,23684900,fwUSDR,Few Wrapped Ring USD,18,complete,eth-mainnet.g.alchemy.com
0x2a3bff78b79a009976eea096a51a948a3dc00e34,22894200,WILD,Wilder,18,complete,eth-mainnet.g.alchemy.com
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,22607600,HEX,HEX,8,complete,eth-mainnet.g.alchemy.com
0x2c431766e48ec4a17dc052d9d3fef6b6a9ae8d62,23220300,RBR,Robora,18,complete,eth-mainnet.g.alchemy.com
0x2c6264619d2f598a003d1c857e46edb95b22c75c,23779800,1LP-1INCH-DAI,1inch Liquidity Pool (1INCH-DAI),18,complete,eth-mainnet.g.alchemy.com
0x2d1f7226bd1f780af6b9a49dcc0ae00e8df4bdee,23746500,NVDAon,NVIDIA (Ondo Tokenized),18,complete,eth-mainnet.g.alchemy.com
0x2d8ea194902bc55431420bd26be92b0782dce91d,23117100,ZND,ZNDToken,18,complete,eth-mainnet.g.alchemy.com
0x2e32f96a4fbb9cd7cdc751971c015e282414b956,22737500,REPLICANDY,Replicandy,9,complete,eth-mainnet.g.alchemy.com
0x2e49e372fb442707c91b7ecfec99fb1e41df5532,22898100,β,β,18,complete,eth-mainnet.g.alchemy.com
0x306fd3e7b169aa4ee19412323e1a5995b8c1a1f4,23338200,FTW,Black Agnus,18,complete,eth-mainnet.g.alchemy.com
0x30bcfae081dea6f1acd014947abbfab791cc2296,22938300,SNIFF,SnowSniff,18,complete,eth-mainnet.g.alchemy.com
0x30d20208d987713f46dfd34ef128bb16c404d10f,22986000,SD,Stader,18,complete,eth-mainnet.g.alchemy.com
0x3157874a7508fcf972379d24590c6806522b784f,22623800,PFVS,Puffverse Token,18,complete,eth-mainnet.g.alchemy.com
0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,23209500,RAD,Radicle,18,complete,eth-mainnet.g.alchemy.com
0x320623b8e4ff03373931769a31fc52a4e78b5d70,23535200,RSR,Reserve Rights,18,complete,eth-mainnet.g.alchemy.com
0x32462ba310e447ef34ff0d15bce8613aa8c4a244,23561300,DHN,Dohrnii,18,complete,eth-mainnet.g.alchemy.com
0x32b29705bb44c57f6a3dcca047fd55b460977c25,23721800,HYBX,HYBX,8,complete,eth-mainnet.g.alchemy.com
0x32b77729cd87f1ef2bea4c650c16f89f08472c69,23394100,BOX,DeBoxToken,18,complete,eth-mainnet.g.alchemy.com
0x32b86b99441480a7e5bd3a26c124ec2373e3f015,23504500,BAD,BAD IDEA AI,18,complete,eth-mainnet.g.alchemy.com
0x347a96a5bd06d2e15199b032f46fb724d6c73047,22607600,ASIC,Application Specific Internet Coin,12,complete,eth-mainnet.g.alchemy.com
0x34be5b8c30ee4fde069dc878989686abe9884470,22729100,SENATE,SENATE,18,complete,eth-mainnet.g.alchemy.com
0x3593d125a4f7849a1b059e64f4517a86dd60c95d,22606800,OM,MANTRA DAO,18,complete,eth-mainnet.g.alchemy.com
0x3597bfd533a99c9aa083587b074434e61eb0a258,22978000,DENT,DENT,8,complete,eth-mainnet.g.alchemy.com
0x35cdd6acbe6b0753f3305c295d673e342a2e819f,23898800,SFS-LP,Safeswap LPs,18,complete,eth-mainnet.g.alchemy.com
0x365accfca291e7d3914637abf1f7635db165bb09,23730300,FXN,FXN Token,18,complete,eth-mainnet.g.alchemy.com
0x36c7188d64c44301272db3293899507eabb8ed43,22971300,SWAG,Swag,9,complete,eth-mainnet.g.alchemy.com
0x3766cf12211f2ec589e857b2fe7ed19cf1d7bbf4,23662000,fwAAVE,Few Wrapped Aave Token,18,complete,eth-mainnet.g.alchemy.com
0x3883f5e181fccaf8410fa61e12b59bad963fb645,23082400,THETA,Theta Token,18,complete,eth-mainnet.g.alchemy.com
0x399ef659fdead53b3e7f97e9491e727925667945,23408800,L1X,L1X,18,complete,eth-mainnet.g.alchemy.com
0x39aa39c021dfbae8fac545936693ac917d5e7563,23560200,cUSDC,Compound USD Coin,8,complete,eth-mainnet.g.alchemy.com
0x39aff83c156627e06290d54dcb464008ee433e63,22908800,EINSTEIN,EinsteinCoin,18,complete,eth-mainnet.g.alchemy.com
0x39fbbabf11738317a448031930706cd3e612e1b9,22607600,WXRP,Wrapped XRP,18,complete,eth-mainnet.g.alchemy.com
0x3aada3e213abf8529606924d8d1c55cbdc70bf74,23501500,XMON,XMON,18,complete,eth-mainnet.g.alchemy.com
0x3b0c6c1db96a7e25cac5b0cfe7d577b1be9a196b,22667100,NOICE,NO I.C.E,9,complete,eth-mainnet.g.alchemy.com
0x3b37a9caf74ead14e521d46af0bf00737d827828,23550300,HOPE,History of Pepe,18,complete,eth-mainnet.g.alchemy.com
0x3c6a5b82a2962be1b4f6970ef316cfd738569f13,23477500,BABYMANYU,Baby Manyu,9,complete,eth-mainnet.g.alchemy.com
0x4086e77c5e993fdb90a406285d00111a974f877a,23664200,BRWL,Blockchain Brawlers Token,4,complete,eth-mainnet.g.alchemy.com
