split,configuration,method,model,top_fraction,top_n,positives_in_top,precision_at_top,recall_at_top,lift_at_top
transicao_dencun_2024,c_completa,IF,IF:c_completa,0.05,12216,90,0.0073673870333988214,0.0759493670886076,1.5189313869339236
transicao_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.001,245,0,0.0,0.0,0.0
transicao_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.005,1222,0,0.0,0.0,0.0
transicao_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,2444,6,0.0024549918166939444,0.005063291139240506,0.506144730572417
transicao_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,12216,72,0.005893909626719057,0.060759493670886074,1.2151451095471388
transicao_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.001,245,0,0.0,0.0,0.0
transicao_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.005,1222,0,0.0,0.0,0.0
transicao_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,2444,0,0.0,0.0,0.0
transicao_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,12216,1,8.185985592665357e-05,0.0008438818565400844,0.01687701541037693
transicao_dencun_2024,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.001,245,1,0.004081632653061225,0.0008438818565400844,0.8415086540945493
transicao_dencun_2024,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.005,1222,6,0.004909983633387889,0.005063291139240506,1.012289461144834
transicao_dencun_2024,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,2444,21,0.008592471358428805,0.017721518987341773,1.7715065570034598
transicao_dencun_2024,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,12216,114,0.009332023575638507,0.09620253164556962,1.92397975678297
transicao_dencun_2024,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.001,245,0,0.0,0.0,0.0
transicao_dencun_2024,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.005,1222,0,0.0,0.0,0.0
transicao_dencun_2024,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,2444,0,0.0,0.0,0.0
transicao_dencun_2024,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,12216,12,0.0009823182711198428,0.010126582278481013,0.20252418492452312
treino_2024_pos_dencun,a_completa,AE,AE:a_completa,0.001,3211,0,0.0,0.0,0.0
treino_2024_pos_dencun,a_completa,AE,AE:a_completa,0.005,16055,1,6.228589224540641e-05,4.503895869927487e-05,0.009007707581103122
treino_2024_pos_dencun,a_completa,AE,AE:a_completa,0.01,32110,1,3.114294612270321e-05,4.503895869927487e-05,0.004503853790551561
treino_2024_pos_dencun,a_completa,AE,AE:a_completa,0.05,160549,1,6.228628020106012e-06,4.503895869927487e-05,0.000900776368676296
treino_2024_pos_dencun,a_completa,IF,IF:a_completa,0.001,3211,2,0.0006228589224540642,9.007791739854974e-05,0.09007707581103123
treino_2024_pos_dencun,a_completa,IF,IF:a_completa,0.005,16055,34,0.0021177203363438183,0.0015313245957753456,0.3062620577575062
treino_2024_pos_dencun,a_completa,IF,IF:a_completa,0.01,32110,127,0.003955154157583307,0.005719947754807908,0.5719894314000483
treino_2024_pos_dencun,a_completa,IF,IF:a_completa,0.05,160549,4714,0.029361752486779736,0.21231365130838176,4.246259801940059
treino_2024_pos_dencun,b_completa,AE,AE:b_completa,0.001,3211,29,0.00903145437558393,0.0013061298022789714,1.3061175992599527
treino_2024_pos_dencun,b_completa,AE,AE:b_completa,0.005,16055,56,0.0034880099657427594,0.002522181687159393,0.5044316245417749
treino_2024_pos_dencun,b_completa,AE,AE:b_completa,0.01,32110,134,0.00417315478044223,0.006035220465702833,0.6035164079339093
treino_2024_pos_dencun,b_completa,AE,AE:b_completa,0.05,160549,343,0.0021364194108963617,0.015448362833851282,0.3089662944559695
treino_2024_pos_dencun,b_completa,IF,IF:b_completa,0.001,3211,2,0.0006228589224540642,9.007791739854974e-05,0.09007707581103123
treino_2024_pos_dencun,b_completa,IF,IF:b_completa,0.005,16055,23,0.0014325755216443475,0.0010358960500833222,0.2071772743653718
treino_2024_pos_dencun,b_completa,IF,IF:b_completa,0.01,32110,87,0.002709436312675179,0.0039183894068369135,0.3918352797779859
treino_2024_pos_dencun,b_completa,IF,IF:b_completa,0.05,160549,2461,0.015328653557480894,0.11084087735891546,2.2168106433123644
treino_2024_pos_dencun,c_completa,AE,AE:c_completa,0.001,3211,0,0.0,0.0,0.0
treino_2024_pos_dencun,c_completa,AE,AE:c_completa,0.005,16055,35,0.0021800062285892243,0.0015763635544746206,0.3152697653386093
treino_2024_pos_dencun,c_completa,AE,AE:c_completa,0.01,32110,49,0.0015260043600124572,0.0022069089762644686,0.22068883573702652
treino_2024_pos_dencun,c_completa,AE,AE:c_completa,0.05,160549,166,0.001033952251337598,0.007476467144079629,0.14952887720026514
