split,configuration,method,model,threshold,tn,fp,fn,tp,precision,recall_sensitivity,specificity,npv,f1,balanced_accuracy,mcc,false_positive_rate,predicted_positive_rate
treino_2024_pos_dencun,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,q995,3184079,4688,22203,0,0.0,0.0,0.998529839276435,0.9930751568327427,0.0,0.4992649196382175,-0.0031907103349173966,0.0014701607235649838,0.0014599949547955914
treino_2024_pos_dencun,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,q999,3187911,856,22203,0,0.0,0.0,0.9997315576835811,0.993083423205531,0.0,0.49986577884179056,-0.0013626084897710514,0.00026844231641887095,0.00026658610949339295
validacao_2025_pre_pectra,a_completa,AE,AE:a_completa,q990,1415447,14426,12682,0,0.0,0.0,0.9899109920951021,0.9911198498174885,0.0,0.49495549604755107,-0.009465300068568288,0.010089007904897862,0.010000311946511572
validacao_2025_pre_pectra,a_completa,AE,AE:a_completa,q995,1422660,7213,12682,0,0.0,0.0,0.9949554960475511,0.9911644750867737,0.0,0.49747774802377553,-0.006676139629061901,0.005044503952448931,0.005000155973255786
validacao_2025_pre_pectra,a_completa,AE,AE:a_completa,q999,1428430,1443,12682,0,0.0,0.0,0.998990819464386,0.9911998512259977,0.0,0.499495409732193,-0.0029800904102443844,0.0010091805356140515,0.0010003084804392206
validacao_2025_pre_pectra,a_completa,IF,IF:a_completa,q990,1415910,13963,12219,463,0.03209482878136698,0.03650843715502287,0.9902347970763837,0.9914440502223538,0.03415965766563376,0.5133716171157033,0.02508995326303428,0.009765202923616267,0.010000311946511572
validacao_2025_pre_pectra,a_completa,IF,IF:a_completa,q995,1422697,7176,12645,37,0.005129627062248718,0.002917520895757767,0.9949813724715412,0.991190252915333,0.0037195275194772557,0.4989494466836495,-0.0027807057716052693,0.00501862752845883,0.005000155973255786
validacao_2025_pre_pectra,a_completa,IF,IF:a_completa,q999,1428431,1442,12681,1,0.000693000693000693,7.885191610156126e-05,0.9989915188271965,0.9912005451345905,0.0001415929203539823,0.49953518537164904,-0.0027451770374211544,0.0010084811728034992,0.0010003084804392206
validacao_2025_pre_pectra,b_completa,AE,AE:b_completa,q990,1415550,14323,12579,103,0.007139886316373215,0.00812174735846081,0.9899830264645881,0.9911919721537761,0.007599232698834292,0.4990523869115245,-0.0017780622863759232,0.010016973535411866,0.010000311946511572
validacao_2025_pre_pectra,b_completa,AE,AE:b_completa,q995,1422734,7139,12608,74,0.010259254124497436,0.005835041791515534,0.9950072488955313,0.9912160307438924,0.0074390550389545115,0.5004211453435234,0.001114728085851362,0.004992751104468729,0.005000155973255786
