split_order,split,role,feature,type4_rows,type4_share_split,rows,psi,psi_level,ks_approx,ks_level,drift_level,reference_median,current_median,median_shift,reference_iqr,current_iqr,iqr_ratio,reference_zero_share,current_zero_share,zero_share_delta,outside_training_range_share,outside_training_robust_fence_share,current_min,current_max,current_mean,current_std,psi_bins,ks_grid_points
6,teste_final_2025,test,receiver_tx_count_block_log,13598,0.0048088263429473315,13598,0.6539080921291867,alto,0.24478211999177046,alto,alto,0.0,0.0,0.0,1.0,0.0,0.0,0.5684948784946605,0.7995293425503751,0.2310344640557146,0.0,0.0,0.0,1.9495683515474496,0.1171071065854429,0.28665074625606685,6,27
6,teste_final_2025,test,gas_price_rank_block,13598,0.0048088263429473315,13598,0.30675883542129057,alto,0.18448515984970465,moderado,alto,0.45121951219512196,0.2831858407079646,-0.16803367148715737,0.507182320441989,0.4663907958209195,0.9195722662700047,0.024048184816426187,0.009266068539491102,-0.014782116276935086,0.0,0.0,0.0,1.0,0.32361402296158187,0.26811530142031664,10,99
6,teste_final_2025,test,hour_sin,13598,0.0048088263429473315,13598,0.006272289135251542,baixo,0.021413106285176453,baixo,baixo,0.0,0.0,0.0,1.4142135623730954,1.4142135623730954,1.0,0.03954661675443869,0.04007942344462421,0.0005328066901855166,0.0,0.0,-1.0,1.0,-0.043347226833460636,0.7001817059062406,10,27
6,teste_final_2025,test,hour_cos,13598,0.0048088263429473315,13598,0.008185533697953145,baixo,0.028152213162629613,baixo,baixo,-1.8369701987210297e-16,6.123233995736766e-17,2.4492935982947064e-16,1.4142135623730954,1.4142135623730954,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.012148038500689743,0.7125955503589064,10,26
6,teste_final_2025,test,weekday_sin,13598,0.0048088263429473315,13598,0.011797820006430818,baixo,0.04048296169874299,baixo,baixo,0.0,0.0,0.0,1.5636629649360598,1.5636629649360598,1.0,0.13526224162791928,0.15259596999558758,0.017333728367668305,0.0,0.0,-0.9749279121818236,0.9749279121818236,-0.03761744973494354,0.6992369921875843,10,14
6,teste_final_2025,test,weekday_cos,13598,0.0048088263429473315,13598,0.012936733992672646,baixo,0.02128655691617376,baixo,baixo,-0.22252093395631434,-0.22252093395631434,0.0,1.5244586697611526,1.5244586697611526,1.0,0.0,0.0,0.0,0.0,0.0,-0.9009688679024191,1.0,0.014717399812377912,0.7137992574997537,8,10
6,teste_final_2025,test,gas_limit_log,13598,0.0048088263429473315,13598,4.636049097092502,alto,0.5373950494610464,alto,alto,0.0,0.6486532786558812,0.6486532786558812,1.0000000000000004,0.44918140456043276,0.44918140456043254,0.00017876218089860697,0.0,-0.00017876218089860697,0.0,0.03235769966171496,-0.25704775537569907,2.4813584064188525,0.6879550077308468,0.45795765109455155,9,73
6,teste_final_2025,test,transaction_fee_paid_log,13598,0.0048088263429473315,13598,1.7341813446839962,alto,0.5351514963409538,alto,alto,0.0,-1.2396914689252096,-1.2396914689252096,1.0,1.3978789177390651,1.3978789177390651,0.0,0.0,0.0,0.14803647595234593,0.21642888660097073,-3.3482131735584413,2.7697442632124414,-1.1645717201361223,0.9140616982214556,10,101
7,estresse_fusaka_2025,future_stress,gas_used_log,3195,0.006234608614882665,3195,4.383339761167633,alto,0.3900164124859466,alto,alto,0.0,0.46493909867850475,0.46493909867850475,1.0,0.7772972238137937,0.7772972238137937,3.0831804719446146e-05,0.0,-3.0831804719446146e-05,0.0,0.0009389671361502347,-0.1312904392341081,2.290428716927086,0.4478460920325426,0.44092193136887053,9,71
7,estresse_fusaka_2025,future_stress,gas_used_ratio,3195,0.006234608614882665,3195,2.109527362318967,alto,0.5168438402500488,alto,alto,0.7280278820756305,0.46845665874998715,-0.25957122332564336,0.4706208630699257,0.41958750385647653,0.8915616301399147,0.0,0.0,0.0,0.0,0.0,0.0024562666666666667,0.9930555555555556,0.3784096279100653,0.26926652930260875,9,75
