split_order,split,role,configuration,matrix,rows,score_min,score_q250,score_median,score_mean,score_q750,score_q950,score_q990,score_q995,score_q999,score_max,score_std
1,estresse_pre_dencun_2024,historical_stress,c_completa,C,832676,0.00869780033826828,0.10168494656682014,0.13012151420116425,0.14826788008213043,0.16792191937565804,0.27256013453006744,0.5583392679691315,0.7903323695063591,1.0633071482181484,2.1378886699676514,0.09485970437526703
2,transicao_dencun_2024,protocol_transition,c_completa,C,244311,0.014058235101401806,0.10410888865590096,0.13226504623889923,0.142425075173378,0.16598699241876602,0.2492518126964569,0.4084690272808073,0.49419751763343844,0.6709561055898673,1.5119924545288086,0.06738759577274323
3,treino_2024_pos_dencun,train,c_completa,C,3210970,0.01038901973515749,0.08877739496529102,0.10942865163087845,0.12127700448036194,0.1364012323319912,0.21700868234038345,0.3515472164750099,0.4484329530596658,0.6968418155312532,3.744797468185425,0.06273752450942993
4,validacao_2025_pre_pectra,validation,c_completa,C,1442555,0.0075841606594622135,0.10023318976163864,0.13090743124485016,0.14860278367996216,0.17366943508386612,0.28185718357563033,0.48353064417839003,0.5881096971035,1.0607364087104796,4.260227680206299,0.09033570438623428
5,transicao_pectra_2025,protocol_transition,c_completa,C,423759,0.01141308806836605,0.09549881890416145,0.12333458662033081,0.14053788781166077,0.159921295940876,0.2654902189970016,0.4575494837760924,0.6217531847953858,1.2817520558834086,3.8627054691314697,0.09604653716087341
6,teste_final_2025,test,c_completa,C,2827717,0.007678240537643433,0.10983594506978989,0.1484399437904358,0.17452295124530792,0.2074728012084961,0.36126382350921626,0.5759512066841104,0.6991008174419387,1.1566264276504468,4.227139949798584,0.11998509615659714
7,estresse_fusaka_2025,future_stress,c_completa,C,512462,0.018333638086915016,0.16472786664962769,0.25959330797195435,0.29162776470184326,0.36894846707582474,0.5791634112596511,0.9310798257589368,1.0447984367609027,2.815718987941721,4.3614606857299805,0.19846375286579132
1,estresse_pre_dencun_2024,historical_stress,b_sem_taxas_absolutas,B,832676,0.0022982798982411623,0.04099306557327509,0.07026375830173492,0.09090091288089752,0.10850334912538528,0.1966686062514782,0.5160823166370392,0.8840749338269234,1.4796497404575335,1.7761633396148682,0.1099613755941391
2,transicao_dencun_2024,protocol_transition,b_sem_taxas_absolutas,B,244311,0.002517824759706855,0.04093610681593418,0.06791368871927261,0.07992636412382126,0.10406772792339325,0.17566651850938797,0.2832573384046544,0.3602035135030752,0.5568194478750232,0.859643816947937,0.058149609714746475
3,treino_2024_pos_dencun,train,b_sem_taxas_absolutas,B,3210970,0.0023009732831269503,0.04128395672887564,0.07010554149746895,0.08144839107990265,0.10670447163283825,0.17794068157672882,0.2719775351881985,0.333688590377569,0.6551780811548233,1.8976813554763794,0.06192411109805107
